kpi_name,date,actual_value,expected_value,deviation,deviation_pct,method,severity,confidence,stat_value,description
product_revenue_concentration,2010-12-12,0.3075303317365986,0.19761708432328975,0.10991324741330885,55.61930426698197,iqr,medium,0.687,2.4335,"product_revenue_concentration was 55.6% above expected on 2010-12-12 (actual: 0.31, expected: 0.20) — detected by iqr with 69% confidence"
repeat_customer_rate,2010-12-19,0.25129533678756477,0.16428571428571428,0.08700962250185049,52.96237891416986,zscore_and_iqr,medium,0.786,2.429,"repeat_customer_rate was 53.0% above expected on 2010-12-19 (actual: 0.25, expected: 0.16) — detected by iqr with 69% confidence [Confirmed by 2 methods: zscore, iqr]"
active_customers,2010-12-26,121.0,305.0,-184.0,-60.32786885245902,iqr,low,0.534,1.6685,"active_customers was 60.3% below expected on 2010-12-26 (actual: 121.00, expected: 305.00) — detected by iqr with 53% confidence"
peak_hour_concentration,2010-12-26,0.7226468540859214,0.4921627261689916,0.23048412791692985,46.83087841922218,zscore_and_iqr,high,0.822,2.6111,"peak_hour_concentration was 46.8% above expected on 2010-12-26 (actual: 0.72, expected: 0.49) — detected by iqr with 72% confidence [Confirmed by 2 methods: zscore, iqr]"
product_revenue_concentration,2010-12-26,0.29783469125794787,0.19761708432328975,0.10021760693465812,50.71302781226551,iqr,medium,0.633,2.1628,"product_revenue_concentration was 50.7% above expected on 2010-12-26 (actual: 0.30, expected: 0.20) — detected by iqr with 63% confidence"
avg_unit_price,2011-01-09,1.2752708494917744,1.8286746631564934,-0.553403813664719,-30.26256254403849,zscore_and_iqr,low,0.663,1.8142,"avg_unit_price was 30.3% below expected on 2011-01-09 (actual: 1.28, expected: 1.83) — detected by iqr with 56% confidence [Confirmed by 2 methods: zscore, iqr]"
peak_hour_concentration,2011-01-09,0.7119650861339084,0.4921627261689916,0.21980235996491682,44.66050521051533,zscore_and_iqr,medium,0.793,2.4637,"peak_hour_concentration was 44.7% above expected on 2011-01-09 (actual: 0.71, expected: 0.49) — detected by iqr with 69% confidence [Confirmed by 2 methods: zscore, iqr]"
product_revenue_concentration,2011-01-09,0.29662210991717647,0.19761708432328975,0.09900502559388671,50.099426339030686,iqr,medium,0.626,2.129,"product_revenue_concentration was 50.1% above expected on 2011-01-09 (actual: 0.30, expected: 0.20) — detected by iqr with 63% confidence"
product_revenue_concentration,2011-01-16,0.3171373736772949,0.19761708432328975,0.11952028935400513,60.48074728117994,iqr,high,0.74,2.7016,"product_revenue_concentration was 60.5% above expected on 2011-01-16 (actual: 0.32, expected: 0.20) — detected by iqr with 74% confidence"
revenue_per_customer,2011-01-16,812.7445106382979,533.3389139014969,279.40559673680104,52.38800122287811,zscore_and_iqr,high,0.687,3.081,"revenue_per_customer was 52.4% above expected on 2011-01-16 (actual: 812.74, expected: 533.34) — detected by zscore with 59% confidence [Confirmed by 2 methods: zscore, iqr]"
revenue_per_order,2011-01-16,556.8366180758018,352.21057581573893,204.62604226006283,58.097642805341025,zscore_and_iqr,low,0.652,1.7607,"revenue_per_order was 58.1% above expected on 2011-01-16 (actual: 556.84, expected: 352.21) — detected by iqr with 55% confidence [Confirmed by 2 methods: zscore, iqr]"
