kpi_name,date,anomaly_severity,anomaly_confidence,total_deviation,total_deviation_pct,status,summary,dimensions_analysed,driver_1_dimension,driver_1_segment,driver_1_contribution_pct,driver_1_deviation,driver_2_dimension,driver_2_segment,driver_2_contribution_pct,driver_2_deviation,driver_3_dimension,driver_3_segment,driver_3_contribution_pct,driver_3_deviation
product_revenue_concentration,2010-12-12,medium,0.687,0.1099132474133088,55.61930426698197,manual_review_required,product_revenue_concentration anomaly on 2010-12-12 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
repeat_customer_rate,2010-12-19,medium,0.786,0.0870096225018504,52.96237891416986,manual_review_required,repeat_customer_rate anomaly on 2010-12-19 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
active_customers,2010-12-26,low,0.534,-184.0,-60.32786885245902,analysed,active_customers was 60.3% below expected on 2010-12-26. Primary driver: Country=United Kingdom accounted for -13.9% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,-13.9,25.63,HourOfDay,15,7.6,-14.02,HourOfDay,10,6.7,-12.3
peak_hour_concentration,2010-12-26,high,0.822,0.2304841279169298,46.83087841922218,manual_review_required,peak_hour_concentration anomaly on 2010-12-26 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
product_revenue_concentration,2010-12-26,medium,0.633,0.1002176069346581,50.71302781226551,manual_review_required,product_revenue_concentration anomaly on 2010-12-26 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
avg_unit_price,2011-01-09,low,0.663,-0.553403813664719,-30.26256254403849,manual_review_required,avg_unit_price anomaly on 2011-01-09 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
peak_hour_concentration,2011-01-09,medium,0.793,0.2198023599649168,44.66050521051533,manual_review_required,peak_hour_concentration anomaly on 2011-01-09 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
product_revenue_concentration,2011-01-09,medium,0.626,0.0990050255938867,50.099426339030686,manual_review_required,product_revenue_concentration anomaly on 2011-01-09 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
product_revenue_concentration,2011-01-16,high,0.74,0.1195202893540051,60.48074728117994,manual_review_required,product_revenue_concentration anomaly on 2011-01-16 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
revenue_per_customer,2011-01-16,high,0.687,279.40559673680104,52.38800122287811,manual_review_required,revenue_per_customer anomaly on 2011-01-16 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
